Centralniy,Belgorodskaya Oblast',1696
Centralniy,Bryanskaya Oblast',1546
Centralniy,Ivanovskaya Oblast',1831
Centralniy,Kaluzhskaya Oblast',2020
Centralniy,Kostromskaya Oblast',917
Centralniy,Kurskaya Oblast',1252
Centralniy,Lipetskaya Oblast',1581
Centralniy,Moscow Oblast,19299
Centralniy,Orlovskaya Oblast',1110
Centralniy,Ryazanskaya Oblast',2088
Centralniy,Smolenskaya Oblast',1275
Centralniy,Tambovskaya Oblast',1096
Centralniy,Tul'skaya Oblast',2812
Centralniy,Tverskaya Oblast',2356
Centralniy,Vladimirskaya Oblast',2443
Centralniy,Voronezhskaya Oblast',5764
Centralniy,Yaroslavskaya Oblast',3970
Dalnevostochniy,Amurskaya Oblast',728
Dalnevostochniy,Chukotskiy Avtonomnyy Okrug,2
Dalnevostochniy,Jewish Autonomous Oblast,58
Dalnevostochniy,Kamtchatski Kray,210
Dalnevostochniy,Khabarovsk Krai,3374
Dalnevostochniy,Magadanskaya Oblast',174
Dalnevostochniy,Primorskiy Kray,3813
Dalnevostochniy,Respublika Sakha (Yakutiya),840
Dalnevostochniy,Sakhalinskaya Oblast',646
Privolzhskiy,Bashkortostan,5859
Privolzhskiy,Chuvashia,1846
Privolzhskiy,Kirovskaya Oblast',1740
Privolzhskiy,Nizhegorodskaya Oblast',7900
Privolzhskiy,Orenburgskaya Oblast',1588
Privolzhskiy,Penzenskaya Oblast',1871
Privolzhskiy,Perm Krai,6035
Privolzhskiy,Respublika Mariy-El,1059
Privolzhskiy,Respublika Mordoviya,761
Privolzhskiy,Samarskaya Oblast',10654
Privolzhskiy,Saratovskaya Oblast',4455
Privolzhskiy,Tatarstan,8100
Privolzhskiy,Udmurtskaya Respublika,2583
Privolzhskiy,Ulyanovsk Oblast,2387
Severo-Kavkazskiy,Chechnya,396
Severo-Kavkazskiy,Dagestan,751
Severo-Kavkazskiy,Kabardino-Balkarskaya Respublika,340
Severo-Kavkazskiy,Karachayevo-Cherkesiya,295
Severo-Kavkazskiy,North Ossetia,480
Severo-Kavkazskiy,Respublika Ingushetiya,126
Severo-Kavkazskiy,Stavropol'skiy Kray,3537
Severo-Zapad,Arkhangelskaya,1132
Severo-Zapad,Kaliningradskaya Oblast',3092
Severo-Zapad,Komi Republic,965
Severo-Zapad,Leningrad,1890
Severo-Zapad,Murmansk,1022
Severo-Zapad,Nenetskiy Avtonomnyy Okrug,48
Severo-Zapad,Novgorodskaya Oblast',1399
Severo-Zapad,Pskovskaya Oblast',574
Severo-Zapad,Republic of Karelia,950
Severo-Zapad,St.-Petersburg,39609
Severo-Zapad,Vologodskaya Oblast',1865
Sibirsky,Altai Krai,3456
Sibirsky,Irkutskaya Oblast',5505
Sibirsky,Kemerovskaya Oblast',3255
Sibirsky,Krasnoyarskiy Kray,4418
Sibirsky,Novosibirskaya Oblast',10411
Sibirsky,Omskaya Oblast',3353
Sibirsky,Respublika Altay,76
Sibirsky,Respublika Buryatiya,644
Sibirsky,Respublika Khakasiya,585
Sibirsky,Respublika Tyva,73
Sibirsky,Tomskaya Oblast',2553
Sibirsky,Transbaikal Territory,647
Uralskyi,Chelyabinsk,7187
Uralskyi,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,2458
Uralskyi,Kurganskaya Oblast',943
Uralskyi,Sverdlovskaya Oblast',12280
Uralskyi,Tyumenskaya Oblast',3310
Uralskyi,Yamalo-Nenetskiy Avtonomnyy Okrug,486
Yuzhniy,Astrakhanskaya Oblast',1540
Yuzhniy,Kalmykiya,131
Yuzhniy,Krasnodarskiy Kray,14706
Yuzhniy,Respublika Adygeya,438
Yuzhniy,Rostov,8221
Yuzhniy,Volgogradskaya Oblast',3307
